,Depth [m],Practical Salinity [psu],Temperature [deg C]
0,0.5000002980232239,23.658302307128906,8.161417961120605
1,1.5000030994415283,23.992883682250977,8.22350788116455
2,2.500011444091797,24.479108810424805,8.319628715515137
3,3.500030517578125,24.952425003051758,8.425889015197754
4,4.500070571899414,25.385292053222656,8.52995491027832
5,5.500150680541992,25.7623233795166,8.627775192260742
6,6.50031042098999,26.098655700683594,8.721768379211426
7,7.5006232261657715,26.390689849853516,8.812468528747559
8,8.501235961914062,26.640966415405273,8.89901351928711
9,9.502432823181152,26.864906311035156,8.983234405517578
10,10.504765510559082,27.065635681152344,9.064323425292969
11,11.50931167602539,27.2484073638916,9.142247200012207
12,12.518166542053223,27.41692543029785,9.216789245605469
13,13.535411834716797,27.572322845458984,9.286563873291016
14,14.568982124328613,27.714391708374023,9.350939750671387
15,15.63428783416748,27.84588623046875,9.410022735595703
16,16.761173248291016,27.970645904541016,9.464799880981445
17,18.00713539123535,28.093652725219727,9.517162322998047
18,19.48178482055664,28.222537994384766,9.56915283203125
19,21.389978408813477,28.36821937561035,9.623371124267578
20,24.100255966186523,28.543787002563477,9.680032730102539
21,28.229915618896484,28.759130477905273,9.726561546325684
22,34.68575668334961,29.002084732055664,9.737861633300781
23,44.517723083496094,29.242290496826172,9.706564903259277
24,58.48433303833008,29.44926643371582,9.668479919433594
25,76.58558654785156,29.63191032409668,9.652295112609863
26,98.06295776367188,29.866558074951172,9.736055374145508
27,121.86651611328125,30.100303649902344,9.861776351928711
28,147.08946228027344,30.27587890625,9.900476455688477
29,173.11448669433594,30.37846565246582,9.871698379516602
30,199.5730438232422,30.452999114990234,9.81604290008545
31,226.2602996826172,30.513818740844727,9.755982398986816
32,253.06663513183594,30.5562686920166,9.712027549743652
33,279.9345397949219,30.578433990478516,9.687385559082031
34,299.68988037109375,30.584814071655273,9.679167747497559
